Wie alt werde ich?,24,7,23,1
Wo wohne ich?,Bremen,Oldenburg,Thedinghausen,1
Woher komme ich?,Hannover,Achim,Nürnberg,2
Wat is meine natürliche Haarfarbe?,Blau,Blond,Grün,2
"Wie hieß der erste Moderator von 1, 2 oder 3?",Elton,Gregor Steinbrenner,Michael Schanze,3
Wie viele Weihnachtsbäume werden in Deutschland pro Jahr verkauft?,~30 Millionen,~7,~18 Millionen,1
Wie viele Liter werden in Deutschland pro Kopf jährlich getrunken?,50,100,7,2
Wie lang ist der Begattungsapparat der 15 cm langen Bananenschnecke?,15cm,7cm,80cm,3
Wie viele Buchstaben hat das hawaiianische Alphabet?,7,26,12,3
Wie viele Einkerbungen hat ein Golfball?,336,337,340,1
Welches Land ist flächenmäßig das zweitgrößte der Erde?,Deutschland,China,Kanada,3
Welche ist eine Base der DNA?,Guarana,Guanin,Guave,2
Aus wie vielen Kräuter ist Jägermeister gemacht?,56,7,27,1
Wie viele Halswirbel hat ein Säugetier?,5,9,7,3
Welches Tier ist kein Kamel?,Dromedar,Alpaka,Okapi,3
2 + 2,Is 4,Minus 1 is 3,Quick Math,3
In welchem Jahr war die Einführung des Euro?,2001,2002,2000,2
Was bedeutet das lateinische “carpe diem”?,Lebe den Tag,Nutze den Tag,Töte den Karpfen,2
Welcher deutsche Herrscher trug den Beinamen “der Große”?,Friedrich der I. von Preußen,Friedrich der III. von Sachsen,Friedrich II. von Preußen,3
Welche Gürtelfarbe existiert nicht im Kampfsport Karate?,Rot,Braun,Gelb,1
Welcher Pilz ist einer der giftigsten der Welt?,Fliegenpilz,Grüner Knollenblätterpilz,Satansröhrling,2
Wie viele Geschmacksknospen hat die menschliche Zunge durchschnittlich?,10000,7,20000,1
In welcher Stadt wurde Ludwig van Beethoven 1770 geboren?,Arnheim,Berlin,Dresden,2
Welche ist keine Primärfarbe?,Rot,Gelb,Grün,3
Welchen pH-Wert hat reines Wasser ca.?,7,14,9,1
Welche Nationalität hatte Marco Polo?,Portugiesisch,Venezianisch,Spanisch,2
Wie viele Knochen haben Haie in ihrem Körper?,7,362,0,3
Welche ist die größte Insel der Welt?,Grönland,Australien,Madagaskar,1
Wie viele Herzen hat ein Oktopus?,1,3,7,2
Wie hieß der erste Amerikaner der ins All flog?,Yuri Gagarin,Neil Armstrong,Alan Shepard,3
Welches Säugetier hat keine Stimmbänder?,Giraffe,Affe,Blauwal,1
Schinken oder Käse?,Schinken,oder,Käse,2
Das wievielfache ihres Gewichts kann eine Ameise heben?,7,25,50,3
In welchem Jahr wurde das iPhone veröffentlicht?,2007,2008,2005,1
Was ist das chemische Symbol für Silber?,Au,Ag,An,2
Wie lautet Barbies voller Name?,Cinderella Milton Barbie,Eliza Beatrice Kissing,Barbara Millicent Roberts,3
Wie viele Atemzüge macht der Mensch täglich ca.?,20000,7000,215000,1
Wer erfand das Telefon?,Nikola Tesla,Alexander Graham Bell,Thomas Alva Edison,2
Welcher Sänger war als The Gloved One und King of Pop bekannt?,Freddie Mercury,Elvis Presley,Michael Jackson,3
Welcher ist der längste Fluss der Welt?,Nil,Rhein,Amazonas,1
In welchem dieser Filme spielt Leonardo DiCaprio nicht mit?,Aviator,12 Years a Slave,The Revenant,2
Wieviel Tasten hat ein Klavier?,77,92,88,3
Wer wählt den Bundespräsidenten?,Die Bundesversammlung,Der Bundestag,Der Bundeskanzler,1
Welcher Autor schrieb das Buch "Der Hundertjährige, der aus dem Fenster stieg und verschwand"?,Andres Anderson,Jonas Jonasson,Peter Petersson,2
Willst du mit mir gehen?,ja,nein,vllt,1
Warum ist die Banane krumm?,Weil sie,wenn sie gerade wäre,keine Banane wäre,3
Warum können Giraffen nicht kotzen?,Sie haben zu viel Stil,Ihre Organe stehen zu sehr unter Druck,Ihr Hals ist zu lang,3
Was sind Paläontologen?,Menschen die sich mit Tieren beschäftigen,Menschen die mit Skeletten zu tun haben,Menschen die sich mit Dinosauriern zu beschäftigen,3
Um 1 Bit in DRAM darzustellen braucht man 1 Kondensator und..?,8 Transistoren,4 Transistoren,1 Transistor,3
Was ist das häufigste Protein im Menschlichen Körper?,Hämoglobin,KOLLAGEN,Albium,2
Welche Viren wurden mit Kopf-Missbildungen in Verbindung gebracht?,Marburg Viren,Zika Viren,Hepatitis-B,2
Welche Blume ist in China und Japan von kultureller Bedeutung?,Leucadendron,Campomanesia,Chysanthemum,3
Wo sind Orang-Utans beheimatet?,Indonesien,Brasilien,Kenia,1
Welches graphische Symbol vermittelt seine Bedeutung durch die Ähnlichkeit mit einem physischen Objekt?,Piktogramm,Anagramm,Hologramm,1
Von wem stammt der Ausspruch "Wenn es Gott nicht gäbe, müsste man ihn erfinden"?, Voltaire, Rene Descartes, Thomas von Aquin,1
Warum hört der Fahrradweg einfach hier auf?,1000 Fragen,ich komme nicht drauf,Bürokratie,2
"Welche Stadt benutzt das Autokennzeichen ""FF""?",Frankfurt / Oder,Fridingen am Fluß,Flensburg,1
"Für was steht die Abkürzung ""GmbH""?",Gesellschaft mit bekannter Haftung,Gesellschafter mit beschränkter Haftung,Gesellschaft mit beschränkter Haftung,3
Wie heißt Indiens Hauptstadt?,Neu-Delhi,Mumbai,Bangkok,1